ANIO,NUMERO_MES,MES,TIPO_ACCIDENTE,ID_ESTADO,ESTADO,ID_MUNICIPIO,NOMBRE_MUNICIPIO,TOTAL_ACCIDENTES,SUMA_MUERTOS,SUMA_HERIDOS
2012,1,Enero,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,7
2012,1,Enero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,18,0,13
2012,1,Enero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,18,1,17
2012,1,Enero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,169,1,125
2012,1,Enero,Otro,26,Sonora,30,Hermosillo,2,0,0
2012,1,Enero,Volcadura,26,Sonora,30,Hermosillo,3,1,3
2012,2,Febrero,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,3
2012,2,Febrero,Colisión con ciclista,26,Sonora,30,Hermosillo,10,0,11
2012,2,Febrero,Colisión con ferrocarril,26,Sonora,30,Hermosillo,1,0,5
2012,2,Febrero,Colisión con motocicleta,26,Sonora,30,Hermosillo,14,0,12
2012,2,Febrero,Colisión con objeto fijo,26,Sonora,30,Hermosillo,38,1,11
2012,2,Febrero,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,18,2,19
2012,2,Febrero,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,118,2,96
2012,2,Febrero,Volcadura,26,Sonora,30,Hermosillo,2,0,4
2012,3,Marzo,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,3
2012,3,Marzo,Colisión con ciclista,26,Sonora,30,Hermosillo,5,0,5
2012,3,Marzo,Colisión con motocicleta,26,Sonora,30,Hermosillo,24,1,25
2012,3,Marzo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,31,0,4
2012,3,Marzo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,22,2,23
2012,3,Marzo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,160,0,117
2012,3,Marzo,Salida del camino,26,Sonora,30,Hermosillo,2,0,0
2012,3,Marzo,Volcadura,26,Sonora,30,Hermosillo,5,0,10
2012,4,Abril,Colisión con ciclista,26,Sonora,30,Hermosillo,10,0,9
2012,4,Abril,Colisión con motocicleta,26,Sonora,30,Hermosillo,15,0,11
2012,4,Abril,Colisión con objeto fijo,26,Sonora,30,Hermosillo,29,0,11
2012,4,Abril,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,12,1,11
2012,4,Abril,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,122,0,72
2012,4,Abril,Salida del camino,26,Sonora,30,Hermosillo,2,0,6
2012,4,Abril,Volcadura,26,Sonora,30,Hermosillo,5,0,5
2012,5,Mayo,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,4
2012,5,Mayo,Colisión con ciclista,26,Sonora,30,Hermosillo,6,0,6
2012,5,Mayo,Colisión con motocicleta,26,Sonora,30,Hermosillo,14,1,13
2012,5,Mayo,Colisión con objeto fijo,26,Sonora,30,Hermosillo,31,0,12
2012,5,Mayo,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,14,0,14
2012,5,Mayo,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,139,0,82
2012,5,Mayo,Volcadura,26,Sonora,30,Hermosillo,7,1,9
2012,6,Junio,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2012,6,Junio,Colisión con ciclista,26,Sonora,30,Hermosillo,7,0,6
2012,6,Junio,Colisión con ferrocarril,26,Sonora,30,Hermosillo,1,0,0
2012,6,Junio,Colisión con motocicleta,26,Sonora,30,Hermosillo,14,0,9
2012,6,Junio,Colisión con objeto fijo,26,Sonora,30,Hermosillo,30,0,12
2012,6,Junio,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,14,2,12
2012,6,Junio,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,134,1,80
2012,6,Junio,Salida del camino,26,Sonora,30,Hermosillo,1,0,0
2012,6,Junio,Volcadura,26,Sonora,30,Hermosillo,5,0,4
2012,7,Julio,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2012,7,Julio,Colisión con ciclista,26,Sonora,30,Hermosillo,5,0,6
2012,7,Julio,Colisión con motocicleta,26,Sonora,30,Hermosillo,8,0,8
2012,7,Julio,Colisión con objeto fijo,26,Sonora,30,Hermosillo,26,0,0
2012,7,Julio,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,14,1,14
2012,7,Julio,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,116,0,76
2012,7,Julio,Salida del camino,26,Sonora,30,Hermosillo,3,1,0
2012,7,Julio,Volcadura,26,Sonora,30,Hermosillo,5,0,2
2012,8,Agosto,Caída de pasajero,26,Sonora,30,Hermosillo,3,0,4
2012,8,Agosto,Colisión con ciclista,26,Sonora,30,Hermosillo,5,0,5
2012,8,Agosto,Colisión con motocicleta,26,Sonora,30,Hermosillo,16,1,15
2012,8,Agosto,Colisión con objeto fijo,26,Sonora,30,Hermosillo,23,0,8
2012,8,Agosto,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,22,1,23
2012,8,Agosto,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,120,0,91
2012,8,Agosto,Salida del camino,26,Sonora,30,Hermosillo,1,0,2
2012,8,Agosto,Volcadura,26,Sonora,30,Hermosillo,1,0,1
2012,9,Septiembre,Caída de pasajero,26,Sonora,30,Hermosillo,1,0,1
2012,9,Septiembre,Colisión con ciclista,26,Sonora,30,Hermosillo,9,3,3
2012,9,Septiembre,Colisión con motocicleta,26,Sonora,30,Hermosillo,13,0,11
2012,9,Septiembre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,13,0,1
2012,9,Septiembre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,13,1,12
2012,9,Septiembre,Colisión con vehículo automotor,26,Sonora,30,Hermosillo,91,2,59
2012,9,Septiembre,Volcadura,26,Sonora,30,Hermosillo,1,0,0
2012,10,Octubre,Caída de pasajero,26,Sonora,30,Hermosillo,2,0,2
2012,10,Octubre,Colisión con ciclista,26,Sonora,30,Hermosillo,10,1,10
2012,10,Octubre,Colisión con motocicleta,26,Sonora,30,Hermosillo,15,0,15
2012,10,Octubre,Colisión con objeto fijo,26,Sonora,30,Hermosillo,26,0,8
2012,10,Octubre,Colisión con peatón (atropellamiento),26,Sonora,30,Hermosillo,19,0,21
